goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkValidateGA-12          	 8599687	       138.4 ns/op	     896 B/op	       3 allocs/op
BenchmarkValidateDHPrime-12     	      10	 101644255 ns/op	  495607 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      10	 100231680 ns/op	  495607 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      12	 100606547 ns/op	  495702 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      12	  99599091 ns/op	  495682 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      10	 101103908 ns/op	  495605 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      10	 100184387 ns/op	  495605 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      12	  99526340 ns/op	  495532 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      12	  98176103 ns/op	  495531 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      12	  99425484 ns/op	  495531 B/op	     916 allocs/op
BenchmarkValidateDHPrime-12     	      10	 100149794 ns/op	  495607 B/op	     916 allocs/op
BenchmarkKeyFingerprint-12      	 7679929	       154.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7344498	       156.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7768396	       157.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7459084	       158.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7554312	       156.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7701561	       156.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7594644	       157.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7434330	       157.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7828214	       155.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyFingerprint-12      	 7613990	       156.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkKeyVisualization-12    	 3348420	       358.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3404392	       367.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3280929	       363.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3297008	       357.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3400560	       353.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3327034	       358.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3398210	       352.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3390579	       352.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 3437300	       359.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkKeyVisualization-12    	 2999478	       410.3 ns/op	     112 B/op	       2 allocs/op
PASS
ok  	github.com/mtgo-labs/mtgo/internal/crypto	140.000s
goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/session
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkContainerTrackerTrackContainer-12    	 4505162	       306.6 ns/op	     115 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 5064255	       290.6 ns/op	     107 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 4786096	       313.1 ns/op	     111 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 4495294	       265.0 ns/op	     115 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 7972021	       241.3 ns/op	     123 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 7445278	       220.8 ns/op	     115 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 8793314	       216.7 ns/op	     116 B/op	       1 allocs/op
